Rank,Player,Team,Pos,Value
1,Jared Goff,Detroit Lions,QB,4942
2,Joe Burrow,Cincinnati Bengals,QB,4918
3,Baker Mayfield,Tampa Bay Buccaneers,QB,4685
4,Patrick Mahomes,Kansas City Chiefs,QB,4607
5,Lamar Jackson,Baltimore Ravens,QB,4601
6,Sam Darnold,Minnesota Vikings,QB,4564
7,Jayden Daniels,Washington Commanders,QB,4390
8,Josh Allen,Buffalo Bills,QB,4367
9,Geno Smith,Seattle Seahawks,QB,4320
10,Matthew Stafford,Los Angeles Rams,QB,4295
11,C.J. Stroud,Houston Texans,QB,4254
12,Justin Herbert,Los Angeles Chargers,QB,4112
13,Bo Nix,Denver Broncos,QB,3919
14,Aaron Rodgers,New York Jets,QB,3897
15,Brock Purdy,San Francisco 49ers,QB,3864
16,Kyler Murray,Arizona Cardinals,QB,3851
17,Jalen Hurts,Philadelphia Eagles,QB,3629
18,Jordan Love,Green Bay Packers,QB,3601
19,Caleb Williams,Chicago Bears,QB,3541
20,Kirk Cousins,Atlanta Falcons,QB,3508
21,Tua Tagovailoa,Miami Dolphins,QB,2867
22,Russell Wilson,Pittsburgh Steelers,QB,2752
23,Bryce Young,Carolina Panthers,QB,2403
24,Drake Maye,New England Patriots,QB,2276
25,Derek Carr,New Orleans Saints,QB,2145
26,Jameis Winston,Cleveland Browns,QB,2121
27,Will Levis,Tennessee Titans,QB,2091
28,Daniel Jones,Minnesota Vikings,QB,2070
29,Trevor Lawrence,Jacksonville Jaguars,QB,2045
30,Gardner Minshew II,Las Vegas Raiders,QB,2013
31,Dak Prescott,Dallas Cowboys,QB,1978
32,Cooper Rush,Dallas Cowboys,QB,1844
33,Anthony Richardson,Indianapolis Colts,QB,1814
34,Joe Flacco,Indianapolis Colts,QB,1761
35,Mac Jones,Jacksonville Jaguars,QB,1672
36,Aidan O'Connell,Las Vegas Raiders,QB,1612
37,Mason Rudolph,Tennessee Titans,QB,1530
38,Spencer Rattler,New Orleans Saints,QB,1317
39,Deshaun Watson,Cleveland Browns,QB,1148
40,Justin Fields,Pittsburgh Steelers,QB,1106
41,Drew Lock,New York Giants,QB,1071
42,Andy Dalton,Carolina Panthers,QB,989
43,Tyler Huntley,Miami Dolphins,QB,829
44,Jacoby Brissett,New England Patriots,QB,826
45,Michael Penix Jr.,Atlanta Falcons,QB,775
46,Malik Willis,Green Bay Packers,QB,550
47,Desmond Ridder,Las Vegas Raiders,QB,458
48,Dorian Thompson-Robinson,Cleveland Browns,QB,440
49,Marcus Mariota,Washington Commanders,QB,364
50,Joshua Dobbs,San Francisco 49ers,QB,361
51,Jimmy Garoppolo,Los Angeles Rams,QB,334
52,Tanner McKee,Philadelphia Eagles,QB,323
53,Kenny Pickett,Philadelphia Eagles,QB,291
54,Tim Boyle,New York Giants,QB,276
55,Trey Lance,Dallas Cowboys,QB,266
56,Tommy DeVito,New York Giants,QB,257
57,Joe Milton III,New England Patriots,QB,241
58,Jake Haener,New Orleans Saints,QB,226
59,Davis Mills,Houston Texans,QB,212
60,Brandon Allen,San Francisco 49ers,QB,199
61,Skylar Thompson,Pittsburgh Steelers,QB,187
62,Mitchell Trubisky,Buffalo Bills,QB,179
63,Bailey Zappe,Cleveland Browns,QB,170
64,Tyrod Taylor,New York Jets,QB,119
65,Carson Wentz,Kansas City Chiefs,QB,118
66,Hendon Hooker,Detroit Lions,QB,62
67,Nick Mullens,Minnesota Vikings,QB,38
68,Jaxon Smith-Njigba,Seattle Seahawks,WR,35
69,AJ Cole,Las Vegas Raiders,P,34
70,Courtland Sutton,Denver Broncos,WR,30
71,Mike White,Buffalo Bills,QB,28
71,Taylor Heinicke,Los Angeles Chargers,QB,28
73,Adonai Mitchell,Indianapolis Colts,WR,24
73,Sam Howell,Seattle Seahawks,QB,24
75,David Montgomery,Detroit Lions,RB,23
75,Tress Way,Washington Commanders,P,23
77,Justin Jefferson,Minnesota Vikings,WR,22
78,Cedrick Wilson Jr.,New Orleans Saints,WR,21
78,Taysom Hill,New Orleans Saints,TE,21
80,Jalen Coker,Carolina Panthers,WR,19
80,Kyle Allen,Pittsburgh Steelers,QB,19
82,Riley Dixon,Denver Broncos,P,18
83,Jack Fox,Detroit Lions,P,17
83,Josh Johnson,Baltimore Ravens,QB,17
85,Stefon Diggs,Houston Texans,WR,13
86,Tyson Bagent,Chicago Bears,QB,11
87,Clayton Tune,Arizona Cardinals,QB,8
88,Amon-Ra St. Brown,Detroit Lions,WR,7
89,Kyle Trask,Tampa Bay Buccaneers,QB,5
90,Bryan Anger,Dallas Cowboys,P,4
91,JK Scott,Los Angeles Chargers,P,3
91,Teddy Bridgewater,Detroit Lions,QB,3
93,Max Scharping,Pittsburgh Steelers,G,0
93,Sebastian Gutierrez,Indianapolis Colts,T,0
93,Ikem Ekwonu,Carolina Panthers,T,0
93,Matt Araiza,Kansas City Chiefs,P,0
93,Brandon Graham,Philadelphia Eagles,DE,0
93,Joe Tippmann,New York Jets,C,0
93,Kyle Hinton,Atlanta Falcons,OL,0
93,Jack Westover,New England Patriots,TE,0
